homepage_url,snapshot_url,word_count,internal_link_count,image_count,has_team_page,has_product_page,error
http://upheavalarts.com,,,,,,,No snapshot found
http://UpkeepCharlie.com,,,,,,,No snapshot found
http://www.upgradeindustries.com,,,,,,,No snapshot found
http://www.upitchapp.com,,,,,,,No snapshot found
http://beupfront.com,,,,,,,No snapshot found
http://www.UPlanMe.com,,,,,,,No snapshot found
http://www.uplift.com,,,,,,,No snapshot found
http://www.uplifteducation.org,,,,,,,No snapshot found
http://uploadcare.com,,,,,,,No snapshot found
http://uplift.io,,,,,,,No snapshot found
http://www.uplogix.com,,,,,,,No snapshot found
http://www.uplike.com,http://web.archive.org/web/20120112080954/http://uplike.com/,2.0,0.0,0.0,False,False,
http://www.uplandsoftware.com,http://web.archive.org/web/20090601213108/http://www.uplandsoftware.com/,,,,,,Failed to extract features after retries
http://upnext.com,,,,,,,No snapshot found
http://www.upnest.com,,,,,,,No snapshot found
http://beta.upoc.com,,,,,,,No snapshot found
http://www.upowertech.com,,,,,,,No snapshot found
http://www.upout.com,https://web.archive.org/web/20130515162514/http://www.upout.com,678.0,141.0,17.0,False,False,
http://www.upmo.com,http://web.archive.org/web/20081018184456/http://www.upmo.com/,,,,,,Failed to extract features after retries
https://www.upmysport.com/,http://web.archive.org/web/20150406082527/https://www.upmysport.com/,,,,,,Failed to extract features after retries
http://uppercervicalcare.com,,,,,,,No snapshot found
http://upperstreet.com,,,,,,,No snapshot found
http://app.uppidy.com,,,,,,,No snapshot found
http://upplication.com/build-your-app,,,,,,,No snapshot found
http://www.upr-online.com,,,,,,,No snapshot found
http://upptalk.com,,,,,,,No snapshot found
http://www.uprace.com,,,,,,,No snapshot found
http://www.upriseart.com,,,,,,,No snapshot found
http://sensearray.com,,,,,,,No snapshot found
http://www.upshotdata.com,,,,,,,No snapshot found
http://upsido.com,,,,,,,No snapshot found
http://www.upsideadvisor.com,http://web.archive.org/web/20130620031031/http://www.upsideadvisor.com,0.0,0.0,0.0,False,False,
http://www.upsie.com,,,,,,,No snapshot found
http://upsight.com,,,,,,,No snapshot found
http://www.upsnap.com/,,,,,,,No snapshot found
http://www.upstart.com,,,,,,,No snapshot found
http://www.upstartindustries.com,,,,,,,No snapshot found
http://www.UpstartLabs.com,,,,,,,No snapshot found
http://www.upspringbaby.com,,,,,,,No snapshot found
http://www.upsidecommerce.com/,http://web.archive.org/web/20120218070852/http://upsidecommerce.com/,,,,,,Failed to extract features after retries
http://www.upsteem.com,,,,,,,No snapshot found
http://upstreamcommerce.com,,,,,,,No snapshot found
http://www.upstreamsystems.com,,,,,,,No snapshot found
http://revolutionarybaffle.com,,,,,,,No snapshot found
http://www.uptake.com,,,,,,,No snapshot found
http://uptap.com,,,,,,,No snapshot found
http://www.uptakemedical.com,,,,,,,No snapshot found
http://www.upstream.net,,,,,,,No snapshot found
http://www.uptivity.com,,,,,,,No snapshot found
https://liveuptop.com,,,,,,,No snapshot found
http://www.uptownnetwork.com,,,,,,,No snapshot found
http://upverter.com,,,,,,,No snapshot found
http://upviral.com,,,,,,,No snapshot found
http://upto.com,http://web.archive.org/web/20110819081458/http://www.upto.com/,0.0,0.0,0.0,False,False,
http://www.upTAXI.com,http://web.archive.org/web/20140219153954/http://www.uptaxi.com/,,,,,,Failed to extract features after retries
http://www.upwardpro.com,,,,,,,No snapshot found
http://www.upworthy.com,,,,,,,No snapshot found
http://www.urmobile.com,,,,,,,No snapshot found
http://www.urakkamaailma.fi,,,,,,,No snapshot found
http://uraniumenergy.com,,,,,,,No snapshot found
http://www.upwindsolutions.com,http://web.archive.org/web/20080226192614/http://www.upwindsolutions.com/,,,,,,Failed to extract features after retries
http://urbanairship.com,,,,,,,No snapshot found
http://www.uqwimax.jp,http://web.archive.org/web/20090604072040/http://www.uqwimax.jp/,,,,,,Failed to extract features after retries
http://www.uqm.com,http://web.archive.org/web/20100113084548/http://www.uqm.com/,,,,,,Failed to extract features after retries
http://UrbanCargo.com,,,,,,,No snapshot found
http://ubctvnetwork.com/,,,,,,,No snapshot found
http://www.urbanconsign.com/,,,,,,,No snapshot found
http://www.urbandogcitykitty.com/,,,,,,,No snapshot found
https://urbanengines.com/,,,,,,,No snapshot found
http://www.urbangentleman.com,,,,,,,No snapshot found
http://www.urbanessentialsco.com,,,,,,,No snapshot found
http://www.riserobotics.com,,,,,,,No snapshot found
http://www.urbanladder.com,,,,,,,No snapshot found
http://www.urbanleash.com/,,,,,,,No snapshot found
http://www.urbanmassage.com,,,,,,,No snapshot found
http://www.urbangreenenergy.com,http://web.archive.org/web/20130805115246/http://www.urbangreenenergy.com/,,,,,,Failed to extract features after retries
http://urbanigo.com,,,,,,,No snapshot found
http://www.urbaninterns.com,http://web.archive.org/web/20100828155404/http://www.urbaninterns.com/,,,,,,Failed to extract features after retries
http://unet.ca,,,,,,,No snapshot found
http://www.urbanowl.eu,,,,,,,No snapshot found
http://www.urh2.com,,,,,,,No snapshot found
http://umtvsn.com,http://web.archive.org/web/20120418015445/http://umtvsn.com/,,,,,,Failed to extract features after retries
http://www.urbantimes.co,,,,,,,No snapshot found
http://www.nebiruindustries.com/index.html,,,,,,,No snapshot found
http://www.urbansync.net,https://web.archive.org/web/20141218104240/http://www.urbansync.net,14.0,0.0,0.0,False,False,
http://urbanplanetmobile.com,http://web.archive.org/web/20090311004529/http://www.urbanplanetmobile.com/,,,,,,Failed to extract features after retries
http://www.urbanremedy.com,http://web.archive.org/web/20121105165850/http://www.urbanremedy.com/?,,,,,,Failed to extract features after retries
http://www.urbanbound.com,,,,,,,No snapshot found
http://www.urbantrafic.com,,,,,,,No snapshot found
http://urbanbuz.com,,,,,,,No snapshot found
http://urbandig.com,https://web.archive.org/web/20101122092245/http://urbandig.com,997.0,37.0,14.0,False,False,
http://www.urbanara.com,http://web.archive.org/web/20101222144909/http://www.urbanara.com/,,,,,,Failed to extract features after retries
http://www.urbanindo.com,,,,,,,No snapshot found
https://www.urbanclap.com,http://web.archive.org/web/20150315021122/https://www.urbanclap.com/,,,,,,Failed to extract features after retries
http://mydidi.in/,,,,,,,No snapshot found
http://www.urbanfarmers.com,http://web.archive.org/web/20131106150807/http://urbanfarmers.com/,,,,,,Failed to extract features after retries
http://www.urbanstreamtv.com,,,,,,,No snapshot found
http://www.urbansitter.com,,,,,,,No snapshot found
https://urbanstems.com,,,,,,,No snapshot found
http://www.urbanmapping.com,http://web.archive.org/web/20060427180942/http://www.urbanmapping.com/,61.0,0.0,9.0,False,False,
http://snaptural.com/,,,,,,,No snapshot found
http://www.urbem.cn/,,,,,,,No snapshot found
http://www.urbful.com,,,,,,,No snapshot found
http://urbanoutsource.com.au/,http://web.archive.org/web/20151009091449/http://urbanoutsource.com.au/,,,,,,Failed to extract features after retries
http://www.urbita.com,,,,,,,No snapshot found
http://urbster.com,,,,,,,No snapshot found
http://www.urdoorstep.com/,,,,,,,No snapshot found
http://www.uReachTech.com,,,,,,,No snapshot found
http://www.uregista.com,,,,,,,No snapshot found
http://ureserv.com,,,,,,,No snapshot found
http://www.urbasolar.com,http://web.archive.org/web/20080916183544/http://www.urbasolar.com/,,,,,,Failed to extract features after retries
http://urgentgroup.com,,,,,,,No snapshot found
http://www.urgentrx.com,,,,,,,No snapshot found
http://myurge.com,http://web.archive.org/web/20120206092745/http://myurge.com/,,,,,,Failed to extract features after retries
http://urgentcareer.com,http://web.archive.org/web/20090930074350/http://www.urgentcareer.com/,,,,,,Failed to extract features after retries
http://urgent.ly,http://web.archive.org/web/20140329140222/http://www.urgent.ly/,,,,,,Failed to extract features after retries
http://www.urjakart.com,,,,,,,No snapshot found
http://urjanet.com,,,,,,,No snapshot found
http://www.urgift.in,http://web.archive.org/web/20120620174627/http://urgift.in/,,,,,,Failed to extract features after retries
http://www.urigen.com,http://web.archive.org/web/20130625033305/http://urigen.com/,,,,,,Failed to extract features after retries
http://urli.st,,,,,,,No snapshot found
http://www.urjas.com,,,,,,,No snapshot found
http://www.urogpo.us.com,,,,,,,No snapshot found
http://www.urologic.dk/,,,,,,,No snapshot found
http://www.urotec.de,,,,,,,No snapshot found
